# rubi-harness, symplex 0.23.0: 215 files, 72254 entries, 12 jobs, timeout 10 s, check timeout 30 s, wall 14 s
path	total	unsupported	verified	real_verified	unevaluated	wrong	undecided	timeout	panic	seconds
0 Independent test suites/Apostol Problems.mac	175	0	119	3	53	0	0	0	0	0.4
0 Independent test suites/Bondarenko Problems.mac	35	0	3	0	32	0	0	0	0	0.1
0 Independent test suites/Bronstein Problems.mac	14	0	3	0	11	0	0	0	0	0.0
0 Independent test suites/Charlwood Problems.mac	50	0	1	0	49	0	0	0	0	0.2
0 Independent test suites/Hearn Problems.mac	284	0	141	3	140	0	0	0	0	1.4
0 Independent test suites/Hebisch Problems.mac	7	0	1	0	6	0	0	0	0	0.0
0 Independent test suites/Jeffrey Problems.mac	9	0	6	0	3	0	0	0	0	0.1
0 Independent test suites/Moses Problems.mac	113	0	80	0	33	0	0	0	0	0.3
0 Independent test suites/Stewart Problems.mac	376	0	274	3	98	0	0	1	0	3.8
0 Independent test suites/Timofeev Problems.mac	705	0	239	7	459	0	0	0	0	2.6
0 Independent test suites/Welz Problems.mac	93	0	2	0	91	0	0	0	0	0.4
0 Independent test suites/Wester Problems.mac	8	0	4	0	4	0	0	0	0	0.0
1 Algebraic functions/1.1 Binomial products/1.1.1 Linear/1.1.1.2 (a+b x)^m (c+d x)^n.mac	1917	0	321	5	1591	0	0	0	0	1.5
1 Algebraic functions/1.1 Binomial products/1.1.1 Linear/1.1.1.3 (a+b x)^m (c+d x)^n (e+f x)^p.mac	3189	0	687	0	2502	0	0	0	0	3.0
1 Algebraic functions/1.1 Binomial products/1.1.1 Linear/1.1.1.4 (a+b x)^m (c+d x)^n (e+f x)^p (g+h x)^q.mac	159	0	2	0	157	0	0	0	0	0.1
1 Algebraic functions/1.1 Binomial products/1.1.1 Linear/1.1.1.5 P(x) (a+b x)^m (c+d x)^n.mac	34	0	6	0	28	0	0	0	0	0.0
1 Algebraic functions/1.1 Binomial products/1.1.1 Linear/1.1.1.6 P(x) (a+b x)^m (c+d x)^n (e+f x)^p.mac	78	0	0	0	78	0	0	0	0	0.1
1 Algebraic functions/1.1 Binomial products/1.1.1 Linear/1.1.1.7 P(x) (a+b x)^m (c+d x)^n (e+f x)^p (g+h x)^q.mac	35	0	0	0	35	0	0	0	0	0.0
1 Algebraic functions/1.1 Binomial products/1.1.2 Quadratic/1.1.2.2 (c x)^m (a+b x^2)^p.mac	1071	0	164	7	900	0	0	0	0	1.1
1 Algebraic functions/1.1 Binomial products/1.1.2 Quadratic/1.1.2.3 (a+b x^2)^p (c+d x^2)^q.mac	346	0	8	0	338	0	0	0	0	0.2
1 Algebraic functions/1.1 Binomial products/1.1.2 Quadratic/1.1.2.4 (e x)^m (a+b x^2)^p (c+d x^2)^q.mac	1156	0	60	0	1096	0	0	0	0	0.9
1 Algebraic functions/1.1 Binomial products/1.1.2 Quadratic/1.1.2.5 (a+b x^2)^p (c+d x^2)^q (e+f x^2)^r.mac	115	0	6	0	109	0	0	0	0	0.1
1 Algebraic functions/1.1 Binomial products/1.1.2 Quadratic/1.1.2.6 (g x)^m (a+b x^2)^p (c+d x^2)^q (e+f x^2)^r.mac	51	0	0	0	51	0	0	0	0	0.0
1 Algebraic functions/1.1 Binomial products/1.1.2 Quadratic/1.1.2.8 P(x) (c x)^m (a+b x^2)^p.mac	174	0	22	0	152	0	0	0	0	0.1
1 Algebraic functions/1.1 Binomial products/1.1.3 General/1.1.3.2 (c x)^m (a+b x^n)^p.mac	3071	0	451	0	2618	0	0	2	0	8.1
1 Algebraic functions/1.1 Binomial products/1.1.3 General/1.1.3.3 (a+b x^n)^p (c+d x^n)^q.mac	286	0	12	0	274	0	0	0	0	0.2
1 Algebraic functions/1.1 Binomial products/1.1.3 General/1.1.3.4 (e x)^m (a+b x^n)^p (c+d x^n)^q.mac	913	0	42	0	871	0	0	0	0	0.6
1 Algebraic functions/1.1 Binomial products/1.1.3 General/1.1.3.6 (g x)^m (a+b x^n)^p (c+d x^n)^q (e+f x^n)^r.mac	46	0	0	0	46	0	0	0	0	0.0
1 Algebraic functions/1.1 Binomial products/1.1.3 General/1.1.3.8 P(x) (c x)^m (a+b x^n)^p.mac	594	0	113	0	481	0	0	0	0	0.9
1 Algebraic functions/1.1 Binomial products/1.1.4 Improper/1.1.4.2 (c x)^m (a x^j+b x^n)^p.mac	454	0	32	0	422	0	0	0	0	0.2
1 Algebraic functions/1.1 Binomial products/1.1.4 Improper/1.1.4.3 (e x)^m (a x^j+b x^k)^p (c+d x^n)^q.mac	298	0	31	0	267	0	0	0	0	0.3
1 Algebraic functions/1.2 Trinomial products/1.2.1 Quadratic/1.2.1.1 (a+b x+c x^2)^p.mac	143	0	31	6	106	0	0	0	0	0.1
1 Algebraic functions/1.2 Trinomial products/1.2.1 Quadratic/1.2.1.2 (d+e x)^m (a+b x+c x^2)^p.mac	2590	0	250	11	2329	0	0	0	0	2.0
1 Algebraic functions/1.2 Trinomial products/1.2.1 Quadratic/1.2.1.3 (d+e x)^m (f+g x) (a+b x+c x^2)^p.mac	2646	0	403	15	2228	0	0	0	0	2.9
1 Algebraic functions/1.2 Trinomial products/1.2.1 Quadratic/1.2.1.4 (d+e x)^m (f+g x)^n (a+b x+c x^2)^p.mac	958	0	13	0	945	0	0	0	0	0.5
1 Algebraic functions/1.2 Trinomial products/1.2.1 Quadratic/1.2.1.5 (a+b x+c x^2)^p (d+e x+f x^2)^q.mac	123	0	49	0	74	0	0	0	0	0.2
1 Algebraic functions/1.2 Trinomial products/1.2.1 Quadratic/1.2.1.6 (g+h x)^m (a+b x+c x^2)^p (d+e x+f x^2)^q.mac	143	0	2	2	139	0	0	0	0	0.1
1 Algebraic functions/1.2 Trinomial products/1.2.1 Quadratic/1.2.1.9 P(x) (d+e x)^m (a+b x+c x^2)^p.mac	400	0	78	0	322	0	0	0	0	0.4
1 Algebraic functions/1.2 Trinomial products/1.2.2 Quartic/1.2.2.2 (d x)^m (a+b x^2+c x^4)^p.mac	1126	0	116	0	1010	0	0	0	0	0.8
1 Algebraic functions/1.2 Trinomial products/1.2.2 Quartic/1.2.2.3 (d+e x^2)^m (a+b x^2+c x^4)^p.mac	413	0	69	0	344	0	0	0	0	0.5
1 Algebraic functions/1.2 Trinomial products/1.2.2 Quartic/1.2.2.4 (f x)^m (d+e x^2)^q (a+b x^2+c x^4)^p.mac	413	0	33	0	380	0	0	0	0	0.3
1 Algebraic functions/1.2 Trinomial products/1.2.2 Quartic/1.2.2.5 P(x) (a+b x^2+c x^4)^p.mac	111	0	18	0	93	0	0	0	0	0.4
